PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
28775,Nate Lashley,2022 Fortinet Championship,67.69,1.57,295.2,63.63,70.01,60.63,0.37,28.61
45609,Tyler Duncan,2022 Fortinet Championship,67.68,1.55,295.1,68.9,69.91,62.47,0.43,28.76
24502,Adam Scott,2022 Fortinet Championship,67.67,1.48,312.4,55.34,70.08,57.76,0.47,29.01
31557,Jim Herman,2022 Fortinet Championship,67.65,1.07,291.8,68.27,71.14,56.57,0.57,29.86
39546,Keith Mitchell,2022 Fortinet Championship,67.64,1.57,311.8,61.76,69.51,63.67,0.71,29.06
19803,Ryan Armour,2022 Fortinet Championship,67.56,1.24,286.3,73.95,70.54,61.3,0.44,29.34
36884,Ben Kohles,2022 Fortinet Championship,67.46,1.32,287.3,60.69,70.67,55.01,0.41,29.16
33419,Cameron Tringale,2022 Fortinet Championship,67.45,1.35,301.9,58.59,70.35,57.88,0.49,29.24
40115,Adam Svensson,2022 Fortinet Championship,67.44,1.39,293.4,64.1,70.15,56.48,0.52,28.94
34046,Jordan Spieth,2022 Fortinet Championship,67.42,1.57,308.4,55.99,69.74,61.98,0.53,28.91
40162,Justin Lower,2022 Fortinet Championship,67.36,1.34,294.2,60.26,70.39,58.39,0.53,28.88
53165,Doc Redman,2022 Fortinet Championship,67.3,1.22,294.8,60.18,70.68,56.34,0.51,29.37
32662,Michael Gligic,2022 Fortinet Championship,67.29,1.35,301.2,59.35,70.45,59.09,0.48,29.06
29535,Brice Garnett,2022 Fortinet Championship,67.17,1.32,293.7,67.26,70.62,63.08,0.56,29.31
29478,Kevin Kisner,2022 Fortinet Championship,67.17,1.4,290.4,65.52,70.15,59.74,0.58,28.95
35449,Adam Long,2022 Fortinet Championship,67.17,1.49,291.6,64.74,69.97,64.23,0.45,28.77
52372,Cameron Champ,2022 Fortinet Championship,67.16,1.23,321.4,57.79,71.25,55.59,0.59,29.57
29289,S.Y. Noh,2022 Fortinet Championship,67.11,1.33,299.2,50.29,70.75,55.76,0.48,29.05
27644,Brian Harman,2022 Fortinet Championship,67.09,1.43,292.2,66.56,69.9,62.89,0.45,29.04
39324,J.J. Spaun,2022 Fortinet Championship,67.02,1.42,294.7,64.11,70.25,60.11,0.49,28.97
32816,Satoshi Kodaira,2022 Fortinet Championship,66.99,1.36,286.5,71.88,70.25,57.76,0.53,29.06
46717,Viktor Hovland,2022 Fortinet Championship,66.98,1.57,308.4,61.87,69.74,59.38,0.56,28.69
47995,Davis Riley,2022 Fortinet Championship,66.96,1.5,307.6,61.93,69.89,57.78,0.47,28.55
48699,Callum Tarren,2022 Fortinet Championship,66.91,1.28,312.4,51.83,70.42,57.18,0.55,29.14
